ITERATION	avg. Average Leg distance	avg. Average Trip distance
404	11152.263374485598	11152.263374485598	
405	11160.493827160493	11160.493827160493	
406	11148.148148148148	11148.148148148148	
407	11139.91769547325	11139.91769547325	
408	11086.41975308642	11086.41975308642	
409	11102.880658436214	11102.880658436214	
410	11160.493827160493	11160.493827160493	
411	11119.341563786009	11119.341563786009	
412	11156.378600823045	11156.378600823045	
413	11148.148148148148	11148.148148148148	
414	11102.880658436214	11102.880658436214	
415	11074.074074074075	11074.074074074075	
416	11115.22633744856	11115.22633744856	
417	11119.341563786009	11119.341563786009	
418	11189.300411522634	11189.300411522634	
419	11131.687242798354	11131.687242798354	
420	11152.263374485598	11152.263374485598	
421	11164.609053497943	11164.609053497943	
422	11139.91769547325	11139.91769547325	
423	11193.415637860082	11193.415637860082	
424	11094.650205761316	11094.650205761316	
425	11148.148148148148	11148.148148148148	
426	11139.91769547325	11139.91769547325	
427	11078.189300411523	11078.189300411523	
428	11135.802469135802	11135.802469135802	
429	11148.148148148148	11148.148148148148	
430	11131.687242798354	11131.687242798354	
431	11135.802469135802	11135.802469135802	
432	11156.378600823045	11156.378600823045	
433	11144.0329218107	11144.0329218107	
434	11193.415637860082	11193.415637860082	
435	11115.22633744856	11115.22633744856	
436	11168.724279835391	11168.724279835391	
437	11168.724279835391	11168.724279835391	
438	11205.761316872427	11205.761316872427	
439	11218.106995884773	11218.106995884773	
440	11201.64609053498	11201.64609053498	
441	11218.106995884773	11218.106995884773	
442	11271.604938271605	11271.604938271605	
443	11205.761316872427	11205.761316872427	
444	11160.493827160493	11160.493827160493	
445	11148.148148148148	11148.148148148148	
446	11119.341563786009	11119.341563786009	
447	11156.378600823045	11156.378600823045	
448	11106.995884773663	11106.995884773663	
449	11131.687242798354	11131.687242798354	
450	11061.728395061727	11061.728395061727	
451	11069.958847736625	11069.958847736625	
452	11119.341563786009	11119.341563786009	
453	11119.341563786009	11119.341563786009	
454	11119.341563786009	11119.341563786009	
455	11106.995884773663	11106.995884773663	
456	11094.650205761316	11094.650205761316	
457	11115.22633744856	11115.22633744856	
458	11106.995884773663	11106.995884773663	
459	11115.22633744856	11115.22633744856	
460	11111.111111111111	11111.111111111111	
461	11127.572016460905	11127.572016460905	
462	11135.802469135802	11135.802469135802	
463	11148.148148148148	11148.148148148148	
464	11185.185185185184	11185.185185185184	
465	11139.91769547325	11139.91769547325	
466	11086.41975308642	11086.41975308642	
467	11102.880658436214	11102.880658436214	
468	11148.148148148148	11148.148148148148	
469	11255.144032921811	11255.144032921811	
470	11263.374485596707	11263.374485596707	
471	11201.64609053498	11201.64609053498	
472	11193.415637860082	11193.415637860082	
473	11172.839506172839	11172.839506172839	
474	11185.185185185184	11185.185185185184	
475	11197.530864197532	11197.530864197532	
476	11152.263374485598	11152.263374485598	
477	11189.300411522634	11189.300411522634	
478	11139.91769547325	11139.91769547325	
479	11242.798353909466	11242.798353909466	
480	11168.724279835391	11168.724279835391	
481	11205.761316872427	11205.761316872427	
482	11119.341563786009	11119.341563786009	
483	11082.30452674897	11082.30452674897	
484	11181.069958847736	11181.069958847736	
485	11135.802469135802	11135.802469135802	
486	11144.0329218107	11144.0329218107	
487	11185.185185185184	11185.185185185184	
488	11148.148148148148	11148.148148148148	
489	11160.493827160493	11160.493827160493	
490	11181.069958847736	11181.069958847736	
491	11115.22633744856	11115.22633744856	
492	11176.954732510289	11176.954732510289	
493	11168.724279835391	11168.724279835391	
494	11176.954732510289	11176.954732510289	
495	11193.415637860082	11193.415637860082	
496	11185.185185185184	11185.185185185184	
497	11131.687242798354	11131.687242798354	
498	11193.415637860082	11193.415637860082	
499	11139.91769547325	11139.91769547325	
500	11123.456790123457	11123.456790123457	
501	11205.761316872427	11205.761316872427	
502	11148.148148148148	11148.148148148148	
503	11144.0329218107	11144.0329218107	
504	11111.111111111111	11111.111111111111	
